Game,Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres,platforms
PS3_Pro Yakyuu Spirits 2011,PS3,Pro Yakyuu Spirits 2011,Konami,PawaPuro Production,0.0,180000.0,0.0,0.0,180000.0,0.0,2011-04-14,,,,,,
PS3_How to Train Your Dragon,PS3,How to Train Your Dragon,Activision,Etranges Libellules,0.0,180000.0,120000.0,30000.0,0.0,20000.0,2010-03-23,,0.0,5.0,,Arcade,"Nintendo DS, PlayStation 3, Wii"
PS3_MindJack,PS3,MindJack,Square Enix,FeelPlus,0.0,180000.0,70000.0,80000.0,0.0,30000.0,2011-01-18,,2.41,17.0,44.0,"Shooter, Action","Xbox 360, PlayStation 3"
PS3_Hellboy: The Science of Evil,PS3,Hellboy: The Science of Evil,Konami,Krome Studios,0.0,180000.0,140000.0,20000.0,0.0,20000.0,2008-06-24,,3.0,12.0,,"Adventure, Action","Xbox 360, PlayStation 3, PSP"
PS4_Nights of Azure,PS4,Nights of Azure,Tecmo Koei,Gust,0.0,180000.0,40000.0,40000.0,90000.0,20000.0,2016-03-29,2018-01-21,3.3,26.0,64.0,RPG,"PC, PlayStation 4, PlayStation 3, PS Vita"
PS4_MotoGP 15,PS4,MotoGP 15,Milestone S.r.l.,Milestone S.r.l.,0.0,180000.0,0.0,130000.0,40000.0,20000.0,2015-06-24,2018-04-24,,,,,
PS4_Back to the Future: The Game,PS4,Back to the Future: The Game,Telltale Games,Telltale Games,0.0,180000.0,100000.0,50000.0,0.0,30000.0,2015-10-13,2018-04-23,3.43,260.0,74.0,"Adventure, Action, Puzzle","PC, PlayStation 4, iOS, macOS, Xbox 360, PlayStation 3, Wii"
PS4_Senran Kagura: Estival Versus,PS4,Senran Kagura: Estival Versus,Xseed Games,Marvelous Entertainment,0.0,180000.0,80000.0,0.0,90000.0,20000.0,2016-03-15,2018-06-29,,,,,
PS3_PlayStation Move Heroes,PS3,PlayStation Move Heroes,Sony Computer Entertainment,Nihilistic Software,0.0,180000.0,90000.0,60000.0,0.0,30000.0,2011-03-22,,3.09,11.0,,Action,PlayStation 3
PS3_Trinity Universe,PS3,Trinity Universe,NIS America,Nippon Ichi Software / Gust,0.0,180000.0,70000.0,60000.0,30000.0,20000.0,2010-06-29,,0.0,4.0,,RPG,PlayStation 3
PS4_Resident Evil: Revelations,PS4,Resident Evil: Revelations,Capcom,Capcom,0.0,180000.0,60000.0,60000.0,40000.0,20000.0,2017-08-29,2018-03-16,,,,,
PS3_Brunswick Pro Bowling,PS3,Brunswick Pro Bowling,Crave Entertainment,FarSight Studios,0.0,180000.0,100000.0,50000.0,0.0,20000.0,2010-09-21,,0.0,3.0,,Sports,"Xbox One, PlayStation 4, Xbox 360, PlayStation 3, PlayStation 2, PSP, Wii U, Wii"
PS4_Bendy and the Ink Machine,PS4,Bendy and the Ink Machine,Rooster Teeth Games,TheMeatly Games,0.0,180000.0,150000.0,0.0,0.0,30000.0,2018-11-20,2018-12-19,3.48,144.0,68.0,"Indie, Adventure, Action, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita"
PS3_Cars: Race-O-Rama,PS3,Cars: Race-O-Rama,THQ,Rainbow Studios,0.0,180000.0,140000.0,30000.0,0.0,20000.0,2009-10-13,,,,,,
PS3_Full Auto 2: Battlelines,PS3,Full Auto 2: Battlelines,Sega,Pseudo Interactive,0.0,180000.0,140000.0,20000.0,0.0,20000.0,2006-12-07,,0.0,0.0,67.0,"Racing, Arcade","PlayStation 3, PSP"
PS3_You Don't Know Jack,PS3,You Don't Know Jack,THQ,"Jellyvision, Inc.",0.0,180000.0,160000.0,0.0,0.0,20000.0,2011-02-08,,,,,,
PS4_Gravity Rush Remastered,PS4,Gravity Rush Remastered,Sony Computer Entertainment,Bluepoint Games,0.0,180000.0,20000.0,80000.0,50000.0,20000.0,2016-02-02,2018-09-23,4.02,322.0,80.0,Action,PlayStation 4
PS3_Biohazard: Revival Selection,PS3,Biohazard: Revival Selection,Capcom,Capcom,0.0,180000.0,0.0,0.0,180000.0,0.0,2011-09-08,,,,,,
PS3_NBA Street Homecourt,PS3,NBA Street Homecourt,Electronic Arts,EA Canada,0.0,170000.0,130000.0,10000.0,0.0,20000.0,2007-03-06,,0.0,3.0,,Sports,"Xbox 360, PlayStation 3"
PS4_Final Fantasy XIV: Heavensward,PS4,Final Fantasy XIV: Heavensward,Square Enix,Square Enix,0.0,170000.0,0.0,90000.0,60000.0,20000.0,2015-06-23,2018-04-22,4.44,84.0,86.0,"Massively Multiplayer, RPG","PC, PlayStation 4, PlayStation 3"
PS3_NCAA Basketball 09,PS3,NCAA Basketball 09,EA Sports,EA Canada,0.0,170000.0,150000.0,0.0,0.0,10000.0,2008-11-17,,,,,,
PS3_The Cursed Crusade,PS3,The Cursed Crusade,Atlus,Kylotonn Entertainment,0.0,170000.0,70000.0,70000.0,10000.0,20000.0,2011-10-25,,2.81,37.0,55.0,"Adventure, Action","PC, Xbox 360, PlayStation 3"
PS3_Marvel Super Hero Squad: The Infinity Gauntlet,PS3,Marvel Super Hero Squad: The Infinity Gauntlet,THQ,THQ,0.0,170000.0,120000.0,30000.0,0.0,20000.0,2010-11-16,,3.38,8.0,,Action,"Xbox 360, PlayStation 3, Wii"
PS4_Prototype: Biohazard Bundle,PS4,Prototype: Biohazard Bundle,Activision,Activision,0.0,170000.0,140000.0,0.0,0.0,30000.0,2016-10-11,,,,,,
PS3_Time and Eternity,PS3,Time and Eternity,NIS America,imageepoch Inc.,0.0,170000.0,60000.0,30000.0,60000.0,20000.0,2013-07-16,,0.0,3.0,,RPG,PlayStation 3
PS3_Green Lantern: Rise of the Manhunters,PS3,Green Lantern: Rise of the Manhunters,Warner Bros. Interactive,Griptonite Games,0.0,170000.0,90000.0,50000.0,0.0,20000.0,2011-06-07,,2.25,8.0,54.0,"Arcade, Action","Nintendo 3DS, Nintendo DS, Xbox 360, PlayStation 3, Wii"
PS3_SingStar Motown,PS3,SingStar Motown,Sony Computer Entertainment,SCEE London Studio,0.0,170000.0,0.0,160000.0,0.0,20000.0,2009-11-10,,,,,,
PS3_Disney Sing It: Family Hits,PS3,Disney Sing It: Family Hits,Disney Interactive Studios,Zoe Mode,0.0,170000.0,110000.0,40000.0,0.0,20000.0,2010-08-03,,0.0,0.0,,Arcade,"PlayStation 3, Wii"
PS4_Just Dance 2019,PS4,Just Dance 2019,Ubisoft,Ubisoft Paris,0.0,170000.0,110000.0,30000.0,0.0,30000.0,2018-10-23,2018-09-28,3.8,80.0,,"Casual, Family","Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, Wii U, Wii"
PS4_BlazBlue: Central Fiction,PS4,BlazBlue: Central Fiction,Aksys Games,Arc System Works,0.0,170000.0,100000.0,0.0,50000.0,20000.0,2016-11-01,2019-01-25,3.98,54.0,85.0,"Action, Fighting","PC, PlayStation 4, Nintendo Switch, PlayStation 3"
PS3_The Lord of the Rings: Aragorn's Quest,PS3,The Lord of the Rings: Aragorn's Quest,Warner Bros. Interactive,TT Fusion,0.0,170000.0,100000.0,40000.0,0.0,20000.0,2010-09-14,,2.77,22.0,,"Arcade, Adventure, Action","Nintendo DS, PlayStation 3, PlayStation 2, PS Vita, PSP, Wii"
PS3_Ridge Racer Unbounded,PS3,Ridge Racer Unbounded,Namco Bandai Games,Bugbear Entertainment,0.0,170000.0,50000.0,90000.0,0.0,30000.0,2012-03-27,,3.03,70.0,72.0,"Racing, Action","PC, Xbox 360, PlayStation 3"
PS3_Buzz! Brain of the UK,PS3,Buzz! Brain of the UK,Sony Computer Entertainment,Relentless Software,0.0,170000.0,0.0,150000.0,0.0,10000.0,2009-03-27,,,,,,
PS3_Ashes Cricket 2009,PS3,Ashes Cricket 2009,Codemasters,Transmission Games,0.0,170000.0,0.0,160000.0,0.0,10000.0,2009-08-07,,0.0,2.0,,Sports,"PC, Xbox 360, PlayStation 3"
PS3_MotoGP 10/11,PS3,MotoGP 10/11,Capcom,Monumental Games,0.0,170000.0,40000.0,100000.0,0.0,30000.0,2011-03-15,,0.0,3.0,,"Racing, Simulation",PlayStation 3
PS3_Ar nosurge: Ode to an Unborn Star,PS3,Ar nosurge: Ode to an Unborn Star,Tecmo Koei,Gust,0.0,170000.0,50000.0,40000.0,60000.0,20000.0,2014-09-23,,0.0,5.0,72.0,RPG,PlayStation 3
PS4_The Walking Dead - The Telltale Series: A New Frontier,PS4,The Walking Dead - The Telltale Series: A New Frontier,Warner Bros. Interactive Entertainment,Telltale Games,0.0,170000.0,110000.0,40000.0,0.0,30000.0,2017-02-28,,,,,,
PS4_Resident Evil 6,PS4,Resident Evil 6,Capcom,Capcom,0.0,170000.0,100000.0,0.0,50000.0,20000.0,2016-03-29,2018-03-30,3.43,1265.0,67.0,"Shooter, Action","PC, PlayStation 4, Xbox One, Nintendo Switch, Xbox 360, PlayStation 3, Web"
PS3_Hyperdimension Neptunia Victory,PS3,Hyperdimension Neptunia Victory,Compile Heart,Idea Factory,0.0,170000.0,50000.0,40000.0,60000.0,20000.0,2013-03-21,,0.0,2.0,,RPG,PlayStation 3
PS4_TT Isle of Man: Ride on the Edge,PS4,TT Isle of Man: Ride on the Edge,Big Ben Interactive,Kylotonn,0.0,170000.0,50000.0,90000.0,0.0,30000.0,2018-03-06,2018-03-07,,,,,
PS3_The Chronicles of Narnia: Prince Caspian,PS3,The Chronicles of Narnia: Prince Caspian,Disney Interactive Studios,Traveller's Tales,0.0,170000.0,140000.0,20000.0,0.0,20000.0,2008-05-15,,,,,,
PS4_Guilty Gear Xrd: Sign,PS4,Guilty Gear Xrd: Sign,Aksys Games,Arc System Works,0.0,170000.0,110000.0,0.0,40000.0,20000.0,2014-12-16,2018-11-01,,,,,
PS4_Final Fantasy XIV: Stormblood,PS4,Final Fantasy XIV: Stormblood,Square Enix,Square Enix,0.0,170000.0,50000.0,60000.0,40000.0,20000.0,2017-06-20,2018-06-30,4.14,58.0,88.0,"Massively Multiplayer, RPG","PC, PlayStation 4"
PS3_Bakugan Battle Brawlers: Defenders of the Core,PS3,Bakugan Battle Brawlers: Defenders of the Core,Activision,Now Production,0.0,170000.0,140000.0,10000.0,0.0,20000.0,2010-11-02,,0.0,0.0,56.0,"Action, Fighting","Xbox 360, PlayStation 3, PSP"
PS3_Stormrise,PS3,Stormrise,Sega,The Creative Assembly,0.0,170000.0,130000.0,20000.0,0.0,20000.0,2009-03-24,,1.83,6.0,47.0,"Strategy, Action","PC, Xbox 360, PlayStation 3"
PS3_Jikkyou Powerful Pro Yakyuu 2014,PS3,Jikkyou Powerful Pro Yakyuu 2014,Konami Digital Entertainment,Konami Digital Entertainment,0.0,170000.0,0.0,0.0,170000.0,0.0,2014-10-23,,0.0,0.0,,"Arcade, Sports",PlayStation 3
PS3_Rapala Fishing Frenzy 2009,PS3,Rapala Fishing Frenzy 2009,Activision,FUN Labs,0.0,170000.0,160000.0,0.0,0.0,10000.0,2008-09-02,,,,,,
PS4_Mega Man 11,PS4,Mega Man 11,Capcom,Capcom,0.0,170000.0,90000.0,30000.0,30000.0,30000.0,2018-10-02,2018-06-04,3.73,90.0,80.0,"Platformer, Action","PC, Xbox One, PlayStation 4, Nintendo Switch"
PS3_Angry Birds Trilogy,PS3,Angry Birds Trilogy,Activision,Rovio Mobile,0.0,170000.0,120000.0,20000.0,0.0,30000.0,2012-09-25,,3.42,35.0,64.0,"Action, Puzzle","Nintendo 3DS, Xbox 360, PlayStation 3, PS Vita, Wii U, Wii"
PS3_Fairytale Fights,PS3,Fairytale Fights,Playlogic Game Factory,Playlogic Game Factory,0.0,170000.0,110000.0,40000.0,0.0,20000.0,2009-10-27,,2.83,6.0,,Arcade,PlayStation 3
PS3_Major League Baseball 2K9,PS3,Major League Baseball 2K9,2K Sports,Visual Concepts,0.0,170000.0,160000.0,0.0,0.0,10000.0,2009-03-03,,0.0,0.0,62.0,Sports,"PC, Xbox 360, PlayStation 3, PlayStation 2, Wii"
PS3_Major League Baseball 2K13,PS3,Major League Baseball 2K13,2K Sports,"Visual Concepts, Ltd.",0.0,170000.0,140000.0,0.0,0.0,30000.0,2013-03-05,,,,,,
PS4_MXGP 3: The Official Motocross Videogame,PS4,MXGP 3: The Official Motocross Videogame,Milestone,Milestone,0.0,170000.0,60000.0,80000.0,0.0,30000.0,2017-06-20,2018-06-25,,,,,
PS3_Chaotic: Shadow Warriors,PS3,Chaotic: Shadow Warriors,Activision,Activision,0.0,170000.0,150000.0,0.0,0.0,20000.0,2009-11-17,,0.0,2.0,,Strategy,"Nintendo DS, PlayStation 3, Wii"
PS3_FaceBreaker,PS3,FaceBreaker,EA Sports,EA Canada,0.0,170000.0,130000.0,30000.0,0.0,20000.0,2008-09-03,,3.3,10.0,,"Arcade, Fighting, Sports","Xbox 360, PlayStation 3"
PS3_MotionSports: Adrenaline,PS3,MotionSports: Adrenaline,Ubisoft,Ubisoft Vancouver,0.0,160000.0,80000.0,50000.0,0.0,30000.0,2011-11-01,,,,,,
PS4_Putty Squad,PS4,Putty Squad,System 3,System 3,0.0,160000.0,60000.0,70000.0,0.0,30000.0,2013-11-29,2018-09-17,0.0,4.0,,"Platformer, Arcade","PC, PlayStation 4, Xbox 360, PlayStation 3, PS Vita"
PS3_Dynasty Warriors 8: Xtreme Legends,PS3,Dynasty Warriors 8: Xtreme Legends,Tecmo Koei,Unknown,0.0,160000.0,20000.0,20000.0,110000.0,10000.0,2014-03-25,,3.52,31.0,,Action,"PC, PlayStation 4, PlayStation 3"
PS4_Ride 2,PS4,Ride 2,Milestone S.r.l,Milestone S.r.l.,0.0,160000.0,70000.0,60000.0,10000.0,30000.0,2017-02-14,2018-06-25,3.62,21.0,67.0,"Racing, Simulation, Sports","PC, Xbox One, PlayStation 4"
